id,name_en,name_ta,ward_id,zone_id,taluk_id,village_id,pincode,lat,lon,aliases
1,Gandhipuram,காந்திபுரம்,45,3,2,1,641012,11.0168,76.967,"[""Gandhipuram"", ""Gandhi puram"", ""காந்திபுரம்"", ""kaandhipuram"", ""ganthipuram"", ""gandhipuram area""]"
2,RS Puram,ஆர்.எஸ். புரம்,92,5,2,29,641002,11.008,76.948,"[""RS Puram"", ""R.S. Puram"", ""Rathinasinghpuram"", ""ஆர்.எஸ். புரம்"", ""rspuram""]"
3,Peelamedu,பீளமேடு,23,2,2,31,641004,11.025,77.005,"[""Peelamedu"", ""Pelamedu"", ""பீளமேடு"", ""peelamedu area"", ""pilamedu""]"
4,Saibaba Colony,சாயிபாபா காலனி,81,5,1,9,641011,11.028,76.942,"[""Saibaba Colony"", ""Sai Baba Colony"", ""சாயிபாபா காலனி"", ""saibaba colony area""]"
5,Saravanampatti,சரவணம்பட்டி,2,1,1,3,641035,11.078,76.995,"[""Saravanampatti"", ""Saravanampatty"", ""சரவணம்பட்டி"", ""saravanampatti area""]"
6,Ganapathy,கணபதி,9,1,1,2,641006,11.035,76.975,"[""Ganapathy"", ""Ganapathi"", ""கணபதி"", ""ganapathy area""]"
7,Singanallur,சிங்காநல்லூர்,31,2,2,34,641005,10.998,77.025,"[""Singanallur"", ""Singanalloor"", ""சிங்காநல்லூர்"", ""singanallur bus stand area""]"
8,Ramanathapuram,இராமநாதபுரம்,43,4,2,30,641045,10.995,76.985,"[""Ramanathapuram"", ""Ramnagar Coimbatore"", ""இராமநாதபுரம்""]"
9,Ukkadam,உக்கடம்,61,4,2,29,641001,10.988,76.96,"[""Ukkadam"", ""Ukkadam bus stand"", ""உக்கடம்""]"
10,Town Hall,டவுன் ஹால்,55,3,2,29,641001,10.996,76.962,"[""Town Hall"", ""Townhall"", ""டவுன் ஹால்""]"
11,Race Course,ரேஸ் கோர்ஸ்,52,3,2,29,641018,11.002,76.975,"[""Race Course"", ""Racecourse"", ""ரேஸ் கோர்ஸ்""]"
12,Tatabad,டாடாபாத்,49,3,2,1,641012,11.02,76.96,"[""Tatabad"", ""Thathabad"", ""டாடாபாத்""]"
13,Ram Nagar,ராம் நகர்,47,3,2,29,641009,11.012,76.963,"[""Ram Nagar"", ""Ramnagar"", ""ராம் நகர்""]"
14,Vadavalli,வடவள்ளி,85,5,10,236,641041,11.025,76.9,"[""Vadavalli"", ""Vadavali"", ""வடவள்ளி""]"
15,Thondamuthur,தொண்டாமுத்தூர்,,,10,230,641109,10.995,76.835,"[""Thondamuthur"", ""Thondamuthoor"", ""தொண்டாமுத்தூர்""]"
16,Kuniyamuthur,குனியமுத்தூர்,72,4,10,240,641008,10.96,76.945,"[""Kuniyamuthur"", ""Kuniyamuthoor"", ""குனியமுத்தூர்""]"
17,Kovaipudur,கோவைப்புதூர்,75,4,10,241,641042,10.94,76.93,"[""Kovaipudur"", ""Kovai Pudur"", ""கோவைப்புதூர்""]"
18,Kurichi,குறிச்சி,67,4,9,218,641024,10.95,76.97,"[""Kurichi"", ""குறிச்சி""]"
19,Sundarapuram,சுந்தராபுரம்,67,4,9,219,641024,10.94,76.975,"[""Sundarapuram"", ""Sundarapuram area"", ""சுந்தராபுரம்""]"
20,Ondipudur,ஒண்டிப்புதூர்,36,2,2,38,641016,10.995,77.045,"[""Ondipudur"", ""Ondipudoor"", ""ஒண்டிப்புதூர்""]"
21,Eachanari,ஈச்சனாரி,69,4,9,220,641021,10.925,76.98,"[""Eachanari"", ""Echanari"", ""ஈச்சனாரி""]"
22,Irugur,இருவூர்,,,5,116,641103,11.02,77.07,"[""Irugur"", ""Irugoor"", ""இருவூர்""]"
23,Kalapatti,காளப்பட்டி,27,2,1,6,641048,11.072,77.035,"[""Kalapatti"", ""Kaalapatti"", ""காளப்பட்டி""]"
24,Chinnavedampatti,சின்னவேடம்பட்டி,4,1,1,4,641049,11.06,76.98,"[""Chinnavedampatti"", ""Chinnavedampatty"", ""சின்னவேடம்பட்டி""]"
25,Vilankurichi,விளாங்குறிச்சி,6,1,1,5,641035,11.055,77.01,"[""Vilankurichi"", ""Vilankurichi Road"", ""விளாங்குறிச்சி""]"
26,Thudiyalur,துடியலூர்,17,1,1,7,641034,11.08,76.94,"[""Thudiyalur"", ""Thudiyaloor"", ""துடியலூர்""]"
27,Kavundampalayam,கவுண்டம்பாளையம்,20,1,1,9,641030,11.045,76.935,"[""Kavundampalayam"", ""Goundampalayam"", ""கவுண்டம்பாளையம்""]"
28,Periyanaickenpalayam,பெரியநாயக்கன்பாளையம்,,,1,16,641020,11.145,76.935,"[""Periyanaickenpalayam"", ""பெரியநாயக்கன்பாளையம்""]"
29,Sulur,சூலூர்,,,5,115,641402,11.025,77.125,"[""Sulur"", ""Suloor"", ""சூலூர்""]"
30,Mettupalayam,மேட்டுப்பாளையம்,,,4,89,641301,11.3,76.94,"[""Mettupalayam"", ""Mtp"", ""மேட்டுப்பாளையம்""]"
31,Pollachi,பொள்ளாச்சி,,,6,156,642001,10.66,77.01,"[""Pollachi"", ""Pollachi town"", ""பொள்ளாச்சி""]"
32,Madukkarai,மதுக்கரை,,,9,217,641105,10.903,76.963,"[""Madukkarai"", ""மதுக்கரை""]"
33,Perur,பேரூர்,,,10,229,641010,10.975,76.915,"[""Perur"", ""பேரூர்""]"
34,Annur,அன்னூர்,,,3,59,641653,11.233,77.1,"[""Annur"", ""Annoor"", ""அன்னூர்""]"
35,Kinathukadavu,கிணத்துக்கடவு,,,7,204,642109,10.82,77.02,"[""Kinathukadavu"", ""கிணத்துக்கடவு""]"
36,Valparai,வால்பாறை,,,8,239,642127,10.325,76.955,"[""Valparai"", ""வால்பாறை""]"
37,Anaimalai,ஆனைமலை,,,11,253,642104,10.58,76.93,"[""Anaimalai"", ""ஆனைமலை""]"
38,Selvapuram,செல்வபுரம்,96,5,2,44,641026,10.985,76.94,"[""Selvapuram"", ""செல்வபுரம்""]"
39,Sowripalayam,சௌரிபாளையம்,40,2,2,32,641028,11.005,77.005,"[""Sowripalayam"", ""சௌரிபாளையம்""]"
40,Hope College,ஹோப் காலேஜ்,24,2,2,31,641004,11.026,77.012,"[""Hope College"", ""Hopes"", ""ஹோப் காலேஜ்""]"
41,SITRA,சித்ரா,25,2,2,31,641014,11.038,77.042,"[""SITRA"", ""Sitra Airport"", ""சித்ரா""]"
42,Karamadai,காரமடை,,,4,91,641104,11.245,76.96,"[""Karamadai"", ""காரமடை""]"
43,Sirumugai,சிறுமுகை,,,4,90,641302,11.33,77.0,"[""Sirumugai"", ""சிறுமுகை""]"
44,Neelambur,நீலம்பூர்,,,5,124,641062,11.055,77.08,"[""Neelambur"", ""நீலம்பூர்""]"
45,Podanur,போத்தனூர்,65,4,9,218,641023,10.965,76.985,"[""Podanur"", ""Pothanur"", ""போத்தனூர்""]"
