id,taluk_id,name_en,name_ta,aliases
1,1,Coimbatore North,கோயம்புத்தூர் வடக்கு,"[""Coimbatore North Firka"", ""Kovai North Firka""]"
2,1,Ganapathy,கணபதி,"[""Ganapathy Firka"", ""Ganapathi""]"
3,1,Saravanampatti,சரவணம்பட்டி,"[""Saravanampatti Firka"", ""Saravanampatty""]"
4,1,Thudiyalur,துடியலூர்,"[""Thudiyalur Firka"", ""Thudiyaloor""]"
5,2,Coimbatore Central,கோயம்புத்தூர் மத்தி,"[""Coimbatore Central Firka"", ""Town Hall Firka""]"
6,2,Peelamedu,பீளமேடு,"[""Peelamedu Firka"", ""Pelamedu""]"
7,2,Singanallur,சிங்காநல்லூர்,"[""Singanallur Firka"", ""Singanalloor""]"
8,2,Ramanathapuram,இராமநாதபுரம்,"[""Ramanathapuram Firka"", ""Ramnagar Firka""]"
9,3,Annur,அன்னூர்,"[""Annur Firka"", ""Annoor Firka""]"
10,3,Kunnathur,குன்னத்தூர்,"[""Kunnathur Firka""]"
11,3,Kariyampalayam,கரியம்பாளையம்,"[""Kariyampalayam Firka""]"
12,4,Mettupalayam,மேட்டுப்பாளையம்,"[""Mettupalayam Firka"", ""Mtp Firka""]"
13,4,Sirumugai,சிறுமுகை,"[""Sirumugai Firka"", ""Sirumugai""]"
14,4,Karamadai,காரமடை,"[""Karamadai Firka""]"
15,5,Sulur,சூலூர்,"[""Sulur Firka""]"
16,5,Irugur,இருவூர்,"[""Irugur Firka""]"
17,5,Sultanpet,சுல்தான்பேட்டை,"[""Sultanpet Firka""]"
18,5,Varapatti,வாரப்பட்டி,"[""Varapatti Firka""]"
19,6,Pollachi East,பொள்ளாச்சி கிழக்கு,"[""Pollachi East Firka""]"
20,6,Pollachi West,பொள்ளாச்சி மேற்கு,"[""Pollachi West Firka""]"
21,6,Kottur,கோட்டூர்,"[""Kottur Firka""]"
22,6,Negamam,நெகமம்,"[""Negamam Firka""]"
23,6,Marchinaickenpalayam,மார்ச்சிநாயக்கன்பாளையம்,"[""Marchinaickenpalayam Firka""]"
24,7,Kinathukadavu,கிணத்துக்கடவு,"[""Kinathukadavu Firka""]"
25,7,Nallattipalayam,நல்லாட்டிபாளையம்,"[""Nallattipalayam Firka""]"
26,7,Vadakkipalayam,வடக்கிபாளையம்,"[""Vadakkipalayam Firka""]"
27,8,Valparai,வால்பாறை,"[""Valparai Firka""]"
28,8,Sholayar,சோலையார்,"[""Sholayar Firka"", ""Solaiyar""]"
29,9,Madukkarai,மதுக்கரை,"[""Madukkarai Firka""]"
30,9,Kurichi,குறிச்சி,"[""Kurichi Firka"", ""Sundarapuram Firka""]"
31,9,Othakalmandapam,ஒத்தக்கால்மண்டபம்,"[""Othakalmandapam Firka""]"
32,10,Perur,பேரூர்,"[""Perur Firka""]"
33,10,Thondamuthur,தொண்டாமுத்தூர்,"[""Thondamuthur Firka""]"
34,10,Vadavalli,வடவள்ளி,"[""Vadavalli Firka""]"
35,10,Kuniyamuthur,குனியமுத்தூர்,"[""Kuniyamuthur Firka""]"
36,11,Anaimalai,ஆனைமலை,"[""Anaimalai Firka""]"
37,11,Vettaikaranpudur,வேட்டைக்காரன்புதூர்,"[""Vettaikaranpudur Firka""]"
38,11,Sethumadai,சேத்துமடை,"[""Sethumadai Firka""]"
