id,name_en,name_ta,landmark_type,area_id,ward_id,latitude,longitude,aliases,source,confidence
1,Gandhipuram Central Bus Stand,காந்திபுரம் மத்திய பேருந்து நிலையம்,Bus Stand,1,45,11.0175,76.968,"[""Gandhipuram Bus Stand"", ""Central Bus Stand"", ""காந்திபுரம் பஸ் ஸ்டாண்ட்"", ""gandhipuram bus stand""]",Government of Tamil Nadu & OpenStreetMap,0.95
2,Gandhipuram Town Bus Stand,காந்திபுரம் நகரப் பேருந்து நிலையம்,Bus Stand,1,45,11.016,76.9665,"[""Town Bus Stand Gandhipuram"", ""City Bus Stand Gandhipuram""]",Government of Tamil Nadu & OpenStreetMap,0.95
3,Gandhipuram SETC / Omni Bus Stand,காந்திபுரம் ஆம்னி பேருந்து நிலையம்,Bus Stand,1,45,11.019,76.971,"[""Omni Bus Stand"", ""SETC Bus Stand Gandhipuram""]",Government of Tamil Nadu & OpenStreetMap,0.95
4,Saravanampatti Bus Stand,சரவணம்பட்டி பேருந்து நிலையம்,Bus Stand,5,2,11.079,76.996,"[""Saravanampatti Bus Stand"", ""Saravanampatti Bus Stop"", ""சரவணம்பட்டி பஸ் ஸ்டாண்ட்"", ""saravanampatti bus stand"", ""saravanampatti bus stop""]",Government of Tamil Nadu & OpenStreetMap,0.95
5,Singanallur Bus Stand,சிங்காநல்லூர் பேருந்து நிலையம்,Bus Stand,7,31,10.9985,77.026,"[""Singanallur Bus Stand"", ""சிங்காநல்லூர் பஸ் ஸ்டாண்ட்""]",Government of Tamil Nadu & OpenStreetMap,0.95
6,Ukkadam Bus Stand,உக்கடம் பேருந்து நிலையம்,Bus Stand,9,61,10.9885,76.961,"[""Ukkadam Bus Stand"", ""உக்கடம் பஸ் ஸ்டாண்ட்""]",Government of Tamil Nadu & OpenStreetMap,0.95
7,Saibaba Colony Bus Stand / MTP Road,சாயிபாபா காலனி பேருந்து நிறுத்தம்,Bus Stand,4,81,11.0285,76.944,"[""Saibaba Colony Bus Stop""]",Government of Tamil Nadu & OpenStreetMap,0.95
8,Coimbatore Main Railway Junction,கோயம்புத்தூர் முதன்மை ரயில் நிலையம்,Railway Station,10,58,10.998,76.966,"[""Coimbatore Railway Station"", ""Coimbatore Junction"", ""Kovai Junction"", ""ரயில்வே ஸ்டேஷன்""]",Government of Tamil Nadu & OpenStreetMap,0.95
9,Coimbatore North Railway Station,கோயம்புத்தூர் வடக்கு ரயில் நிலையம்,Railway Station,4,81,11.022,76.95,"[""Coimbatore North Station"", ""North Railway Station""]",Government of Tamil Nadu & OpenStreetMap,0.95
10,Peelamedu Railway Station,பீளமேடு ரயில் நிலையம்,Railway Station,3,23,11.028,77.012,"[""Peelamedu Station""]",Government of Tamil Nadu & OpenStreetMap,0.95
