id,taluk_id,firka_id,name_en,name_ta,village_code,aliases,latitude,longitude,source,confidence
1,1,1,Anupparpalayam,அனுப்பர்பாளையம்,TN-CBE-01-001,"[""Anupparpalayam"", ""அனுப்பர்பாளையம்"", ""Anupparpalayam""]",11.025,76.96,TN Revenue Administration - Coimbatore District,1.0
2,1,1,Ganapathy,கணபதி,TN-CBE-01-002,"[""Ganapathy"", ""கணபதி"", ""Ganapathy""]",11.035,76.975,TN Revenue Administration - Coimbatore District,1.0
3,1,2,Saravanampatti,சரவணம்பட்டி,TN-CBE-01-003,"[""Saravanampatti"", ""சரவணம்பட்டி"", ""Saravanampatti""]",11.078,76.995,TN Revenue Administration - Coimbatore District,1.0
4,1,2,Chinnavedampatti,சின்னவேடம்பட்டி,TN-CBE-01-004,"[""Chinnavedampatti"", ""சின்னவேடம்பட்டி"", ""Chinnavedampatti""]",11.06,76.98,TN Revenue Administration - Coimbatore District,1.0
5,1,3,Vilankurichi,விளாங்குறிச்சி,TN-CBE-01-005,"[""Vilankurichi"", ""விளாங்குறிச்சி"", ""Vilankurichi""]",11.055,77.01,TN Revenue Administration - Coimbatore District,1.0
6,1,3,Kalapatti,காளப்பட்டி,TN-CBE-01-006,"[""Kalapatti"", ""காளப்பட்டி"", ""Kalapatti""]",11.072,77.035,TN Revenue Administration - Coimbatore District,1.0
7,1,4,Thudiyalur,துடியலூர்,TN-CBE-01-007,"[""Thudiyalur"", ""துடியலூர்"", ""Thudiyalur""]",11.08,76.94,TN Revenue Administration - Coimbatore District,1.0
8,1,4,Vellakinaru,வெள்ளக்கிணறு,TN-CBE-01-008,"[""Vellakinaru"", ""வெள்ளக்கிணறு"", ""Vellakinaru""]",11.09,76.955,TN Revenue Administration - Coimbatore District,1.0
9,1,4,Kavundampalayam,கவுண்டம்பாளையம்,TN-CBE-01-009,"[""Kavundampalayam"", ""கவுண்டம்பாளையம்"", ""Kavundampalayam""]",11.045,76.935,TN Revenue Administration - Coimbatore District,1.0
10,1,4,Kurudampalayam,குருடம்பாளையம்,TN-CBE-01-010,"[""Kurudampalayam"", ""குருடம்பாளையம்"", ""Kurudampalayam""]",11.095,76.92,TN Revenue Administration - Coimbatore District,1.0
11,1,4,Pannimadai,பன்னிமடை,TN-CBE-01-011,"[""Pannimadai"", ""பன்னிமடை"", ""Pannimadai""]",11.085,76.89,TN Revenue Administration - Coimbatore District,1.0
12,1,4,Somayampalayam,சோமையம்பாளையம்,TN-CBE-01-012,"[""Somayampalayam"", ""சோமையம்பாளையம்"", ""Somayampalayam""]",11.05,76.885,TN Revenue Administration - Coimbatore District,1.0
13,1,4,Nanjundapuram (North),நஞ்சுண்டாபுரம்,TN-CBE-01-013,"[""Nanjundapuram (North)"", ""நஞ்சுண்டாபுரம்"", ""Nanjundapuram (North)""]",11.065,76.91,TN Revenue Administration - Coimbatore District,1.0
14,1,4,Veerapandi,வீரபாண்டி,TN-CBE-01-014,"[""Veerapandi"", ""வீரபாண்டி"", ""Veerapandi""]",11.12,76.935,TN Revenue Administration - Coimbatore District,1.0
15,1,4,Gudalur (North),கூடலூர்,TN-CBE-01-015,"[""Gudalur (North)"", ""கூடலூர்"", ""Gudalur (North)""]",11.135,76.925,TN Revenue Administration - Coimbatore District,1.0
16,1,4,Periyanaickenpalayam,பெரியநாயக்கன்பாளையம்,TN-CBE-01-016,"[""Periyanaickenpalayam"", ""பெரியநாயக்கன்பாளையம்"", ""Periyanaickenpalayam""]",11.145,76.935,TN Revenue Administration - Coimbatore District,1.0
17,1,4,Naickenpalayam,நாயக்கன்பாளையம்,TN-CBE-01-017,"[""Naickenpalayam"", ""நாயக்கன்பாளையம்"", ""Naickenpalayam""]",11.16,76.94,TN Revenue Administration - Coimbatore District,1.0
18,1,4,Narasimhanaickenpalayam,நரசிம்மநாயக்கன்பாளையம்,TN-CBE-01-018,"[""Narasimhanaickenpalayam"", ""நரசிம்மநாயக்கன்பாளையம்"", ""Narasimhanaickenpalayam""]",11.125,76.935,TN Revenue Administration - Coimbatore District,1.0
19,1,4,Idikarai,இடிகரை,TN-CBE-01-019,"[""Idikarai"", ""இடிகரை"", ""Idikarai""]",11.115,76.96,TN Revenue Administration - Coimbatore District,1.0
20,1,4,Agrahara Samakulam,அக்ரஹார சாமக்குளம்,TN-CBE-01-020,"[""Agrahara Samakulam"", ""அக்ரஹார சாமக்குளம்"", ""Agrahara Samakulam""]",11.105,77.0,TN Revenue Administration - Coimbatore District,1.0
21,1,4,Kondayampalayam,கொண்டையம்பாளையம்,TN-CBE-01-021,"[""Kondayampalayam"", ""கொண்டையம்பாளையம்"", ""Kondayampalayam""]",11.11,77.015,TN Revenue Administration - Coimbatore District,1.0
22,1,4,Keeranatham,கீரநத்தம்,TN-CBE-01-022,"[""Keeranatham"", ""கீரநத்தம்"", ""Keeranatham""]",11.095,77.01,TN Revenue Administration - Coimbatore District,1.0
23,1,4,Vellanaipatti,வெள்ளனைப்பட்டி,TN-CBE-01-023,"[""Vellanaipatti"", ""வெள்ளனைப்பட்டி"", ""Vellanaipatti""]",11.1,77.06,TN Revenue Administration - Coimbatore District,1.0
24,1,4,Kallipalayam,கள்ளிப்பாளையம்,TN-CBE-01-024,"[""Kallipalayam"", ""கள்ளிப்பாளையம்"", ""Kallipalayam""]",11.13,77.045,TN Revenue Administration - Coimbatore District,1.0
