id,name_en,name_ta,street_type,area_id,ward_id,zone_id,latitude,longitude,aliases,source,confidence
1,Avinashi Road,அவினாசி சாலை,Highway,3,23,2,11.028,77.008,"[""Avinashi Road"", ""Avinashi Salai"", ""அவினாசி சாலை"", ""avinasi road"", ""avinashi main road""]",CCMC Open GIS & OpenStreetMap,0.9
2,Trichy Road,திருச்சி சாலை,Highway,7,32,2,10.998,77.018,"[""Trichy Road"", ""Trichy Salai"", ""திருச்சி சாலை"", ""trichy road coimbatore""]",CCMC Open GIS & OpenStreetMap,0.9
3,Mettupalayam Road,மேட்டுப்பாளையம் சாலை,Highway,4,81,5,11.04,76.945,"[""Mettupalayam Road"", ""MTP Road"", ""மேட்டுப்பாளையம் சாலை"", ""mtp road""]",CCMC Open GIS & OpenStreetMap,0.9
4,Sathy Road,சத்தி சாலை,Highway,6,9,1,11.05,76.985,"[""Sathy Road"", ""Sathyamangalam Road"", ""சத்தி சாலை"", ""sathy road""]",CCMC Open GIS & OpenStreetMap,0.9
5,Pollachi Road,பொள்ளாச்சி சாலை,Highway,19,67,4,10.935,76.978,"[""Pollachi Road"", ""Pollachi Main Road"", ""பொள்ளாச்சி சாலை"", ""pollachi road""]",CCMC Open GIS & OpenStreetMap,0.9
6,Palakkad Road,பாலக்காடு சாலை,Highway,16,72,4,10.955,76.94,"[""Palakkad Road"", ""Palghat Road"", ""பாலக்காடு சாலை"", ""palakkad main road""]",CCMC Open GIS & OpenStreetMap,0.9
7,Thadagam Road,தடாகம் சாலை,Main Road,4,83,5,11.035,76.925,"[""Thadagam Road"", ""Thadagam Salai"", ""தடாகம் சாலை""]",CCMC Open GIS & OpenStreetMap,0.9
8,Marudamalai Road,மருதமலை சாலை,Main Road,14,85,5,11.03,76.89,"[""Marudamalai Road"", ""Marudamalai Salai"", ""மருதமலை சாலை"", ""marudamalai main road""]",CCMC Open GIS & OpenStreetMap,0.9
9,Cross Cut Road,கிராஸ் கட் சாலை,Commercial Arterial,1,45,3,11.018,76.966,"[""Cross Cut Road"", ""Crosscut Road"", ""கிராஸ் கட் ரோடு"", ""cross cut salai"", ""cross cut road gandhipuram""]",CCMC Open GIS & OpenStreetMap,0.9
10,100 Feet Road,100 அடி சாலை,Main Road,1,45,3,11.0195,76.964,"[""100 Feet Road"", ""Hundred Feet Road"", ""100 அடி ரோடு"", ""100 feet road gandhipuram""]",CCMC Open GIS & OpenStreetMap,0.9
11,Diwan Bahadur Road (DB Road),திவான் பகதூர் சாலை (டி.பி. ரோடு),Commercial Arterial,2,93,5,11.009,76.947,"[""DB Road"", ""D.B. Road"", ""Diwan Bahadur Road"", ""டி.பி. ரோடு"", ""db road rs puram""]",CCMC Open GIS & OpenStreetMap,0.9
12,Thiruvenkatasamy Road (TV Swamy Road),திருவேங்கடசாமி சாலை (டி.வி. சாமி ரோடு),Main Road,2,92,5,11.011,76.949,"[""TV Swamy Road"", ""T.V. Swamy Road"", ""Thiruvenkatasamy Road"", ""டி.வி. சாமி ரோடு""]",CCMC Open GIS & OpenStreetMap,0.9
13,NSR Road,என்.எஸ்.ஆர் சாலை,Commercial Arterial,4,81,5,11.029,76.941,"[""NSR Road"", ""N.S.R. Road"", ""Narayanasamy Road"", ""என்.எஸ்.ஆர் ரோடு""]",CCMC Open GIS & OpenStreetMap,0.9
14,Bharathiar Road,பாரதியார் சாலை,Main Road,1,45,3,11.014,76.972,"[""Bharathiar Road"", ""Bharathiyar Road"", ""பாரதியார் ரோடு""]",CCMC Open GIS & OpenStreetMap,0.9
15,Race Course Road,ரேஸ் கோர்ஸ் சாலை,Arterial Promenade,11,52,3,11.003,76.974,"[""Race Course Road"", ""Racecourse Promenade"", ""ரேஸ் கோர்ஸ் ரோடு""]",CCMC Open GIS & OpenStreetMap,0.9
16,Oppanakara Street,ஒப்பணக்கார வீதி,Commercial Heritage,10,56,3,10.994,76.961,"[""Oppanakara Street"", ""Oppanakkara Street"", ""ஒப்பணக்கார வீதி"", ""oppanakara theru""]",CCMC Open GIS & OpenStreetMap,0.9
17,Big Bazaar Street,பெரிய கடை வீதி,Commercial Heritage,10,55,3,10.995,76.963,"[""Big Bazaar Street"", ""Periya Kadai Veedhi"", ""பெரிய கடை வீதி""]",CCMC Open GIS & OpenStreetMap,0.9
18,Raja Street,ராஜா வீதி,Commercial Heritage,10,56,3,10.997,76.959,"[""Raja Street"", ""Raja Veedhi"", ""ராஜா வீதி""]",CCMC Open GIS & OpenStreetMap,0.9
