id,zone_id,ward_no,name,name_ta,major_localities,boundary_description,source,confidence
1,1,1,Ward 1 - Saravanampatti North,வார்டு 1 - சரவணம்பட்டி வடக்கு,Saravanampatti North,CCMC North Zone delimited area covering Saravanampatti North,CCMC Ward Delimitation Gazette,1.0
2,1,2,Ward 2 - Saravanampatti Central / Sathy Road,வார்டு 2 - சரவணம்பட்டி மத்தி,Saravanampatti Central / Sathy Road,CCMC North Zone delimited area covering Saravanampatti Central / Sathy Road,CCMC Ward Delimitation Gazette,1.0
3,1,3,Ward 3 - Saravanampatti South / Sivanandapuram,வார்டு 3 - சிவானந்தாபுரம்,Saravanampatti South / Sivanandapuram,CCMC North Zone delimited area covering Saravanampatti South / Sivanandapuram,CCMC Ward Delimitation Gazette,1.0
4,1,4,Ward 4 - Chinnavedampatti North,வார்டு 4 - சின்னவேடம்பட்டி வடக்கு,Chinnavedampatti North,CCMC North Zone delimited area covering Chinnavedampatti North,CCMC Ward Delimitation Gazette,1.0
5,1,5,Ward 5 - Chinnavedampatti South,வார்டு 5 - சின்னவேடம்பட்டி தெற்கு,Chinnavedampatti South,CCMC North Zone delimited area covering Chinnavedampatti South,CCMC Ward Delimitation Gazette,1.0
6,1,6,Ward 6 - Vilankurichi Road,வார்டு 6 - விளாங்குறிச்சி சாலை,Vilankurichi Road,CCMC North Zone delimited area covering Vilankurichi Road,CCMC Ward Delimitation Gazette,1.0
7,1,7,Ward 7 - Vilankurichi Village / Cheran Nagar,வார்டு 7 - சேரன் நகர்,Vilankurichi Village / Cheran Nagar,CCMC North Zone delimited area covering Vilankurichi Village / Cheran Nagar,CCMC Ward Delimitation Gazette,1.0
8,1,8,Ward 8 - Ganapathy North / Maniyakarampalayam,வார்டு 8 - மணியகாரம்பாளையம்,Ganapathy North / Maniyakarampalayam,CCMC North Zone delimited area covering Ganapathy North / Maniyakarampalayam,CCMC Ward Delimitation Gazette,1.0
9,1,9,Ward 9 - Ganapathy Central / Athipalayam Pirivu,வார்டு 9 - அத்திப்பாளையம் பிரிவு,Ganapathy Central / Athipalayam Pirivu,CCMC North Zone delimited area covering Ganapathy Central / Athipalayam Pirivu,CCMC Ward Delimitation Gazette,1.0
10,1,10,Ward 10 - Ganapathy Pudur,வார்டு 10 - கணபதி புதூர்,Ganapathy Pudur,CCMC North Zone delimited area covering Ganapathy Pudur,CCMC Ward Delimitation Gazette,1.0
