id,entity_type,entity_id,alias,normalized_value,language,alias_type,confidence
1,taluk,1,Coimbatore North,coimbatorenorth,English,canonical,1.0
2,taluk,1,Kovai North,kovainorth,English,canonical,1.0
3,taluk,1,Coimbatore Vada,coimbatorevada,English,canonical,1.0
4,taluk,1,கோயம்புத்தூர் வடக்கு,கோயம்புத்தூர்வடக்கு,Tamil,canonical,1.0
5,taluk,2,Coimbatore South,coimbatoresouth,English,canonical,1.0
6,taluk,2,Kovai South,kovaisouth,English,canonical,1.0
7,taluk,2,Coimbatore Therku,coimbatoretherku,English,canonical,1.0
8,taluk,2,கோயம்புத்தூர் தெற்கு,கோயம்புத்தூர்தெற்கு,Tamil,canonical,1.0
9,taluk,3,Annur,annur,English,canonical,1.0
10,taluk,3,Annoor,annoor,English,canonical,1.0
11,taluk,3,அன்னூர்,அன்னூர்,Tamil,canonical,1.0
12,taluk,4,Mettupalayam,mettupalayam,English,canonical,1.0
13,taluk,4,Mtp,mtp,English,canonical,1.0
14,taluk,4,Mettupalaiyam,mettupalaiyam,English,canonical,1.0
15,taluk,4,மேட்டுப்பாளையம்,மேட்டுப்பாளையம்,Tamil,canonical,1.0
16,taluk,5,Sulur,sulur,English,canonical,1.0
17,taluk,5,Suloor,suloor,English,canonical,1.0
18,taluk,5,சூலூர்,சூலூர்,Tamil,canonical,1.0
19,taluk,6,Pollachi,pollachi,English,canonical,1.0
20,taluk,6,Pollachi Taluk,pollachitaluk,English,canonical,1.0
21,taluk,6,பொள்ளாச்சி,பொள்ளாச்சி,Tamil,canonical,1.0
22,taluk,7,Kinathukadavu,kinathukadavu,English,canonical,1.0
23,taluk,7,Kinathukadavoo,kinathukadavoo,English,canonical,1.0
24,taluk,7,கிணத்துக்கடவு,கிணத்துக்கடவு,Tamil,canonical,1.0
25,taluk,8,Valparai,valparai,English,canonical,1.0
26,taluk,8,Valpaarai,valpaarai,English,canonical,1.0
27,taluk,8,வால்பாறை,வால்பாறை,Tamil,canonical,1.0
28,taluk,9,Madukkarai,madukkarai,English,canonical,1.0
29,taluk,9,Mathukkarai,mathukkarai,English,canonical,1.0
30,taluk,9,மதுக்கரை,மதுக்கரை,Tamil,canonical,1.0
31,taluk,10,Perur,perur,English,canonical,1.0
32,taluk,10,Peroor,peroor,English,canonical,1.0
33,taluk,10,பேரூர்,பேரூர்,Tamil,canonical,1.0
34,taluk,11,Anaimalai,anaimalai,English,canonical,1.0
35,taluk,11,Anamalai,anamalai,English,canonical,1.0
36,taluk,11,ஆனைமலை,ஆனைமலை,Tamil,canonical,1.0
